_id_x,genre,age,nationalite,niveauEtudes,sessionId,__v_x,_id_y,textId,associationType,personAType,valueOneA,valueTwoA,forceA,personBType,valueOneB,valueTwoB,forceB,__v_y,association_triplet
67e05b30dacaf24880d98fe8,homme,23,HRV,bac+4,420008aa-5136-48fb-9a6f-4347673fce87,0,67e05eb5dacaf24880d9900d,67a243ea6d8e29a001947948,effort-reward,Femme grande taille,7,5,7,Enfant,3,5,3,0,"[1, 0, 1]"
67e179670ccb86a5c522218b,homme,21,FRA,bac+3,a4237e0c-4bc0-48d7-8a6a-3155792d9cc5,0,67e179ae0ccb86a5c522218f,67a51eb49d8894e943d3ff93,risk-effort,Femme petite taille,6,2,6,Homme petite taille,4,8,7,0,"[1, 1, 0]"
67e1ba8f55773c59ce2928f1,homme,23,ITA,bac+3,d2d3d9a9-2f34-4b29-b08c-8d7dbf0bb543,0,67e1bb3355773c59ce2928f5,67a243ea6d8e29a001947948,effort-reward,Femme grande taille,7,5,5,Personne âgée,3,5,1,0,"[1, 0, 1]"
67e1ba8f55773c59ce2928f1,homme,23,ITA,bac+3,d2d3d9a9-2f34-4b29-b08c-8d7dbf0bb543,0,67e1bb4b55773c59ce2928f7,67a243ea6d8e29a001947946,risk-reward,Enfant,1,3,2,Homme grande taille,9,7,8,0,"[0, 1, 1]"
67e1ba8f55773c59ce2928f1,homme,23,ITA,bac+3,d2d3d9a9-2f34-4b29-b08c-8d7dbf0bb543,0,67e1bbb755773c59ce2928f9,67a243ea6d8e29a001947944,risk-reward,Robot,7,0,10,Femme grande taille,3,10,6,0,"[0, 1, 1]"
67e1ba8f55773c59ce2928f1,homme,23,ITA,bac+3,d2d3d9a9-2f34-4b29-b08c-8d7dbf0bb543,0,67e1bbe855773c59ce2928fb,67a51e546623f6ccab523c27,risk-effort,Homme grande taille,0,10,8,Personne âgée,10,0,1,0,"[1, 1, 0]"
67e1ba8f55773c59ce2928f1,homme,23,ITA,bac+3,d2d3d9a9-2f34-4b29-b08c-8d7dbf0bb543,0,67e1bc1755773c59ce2928fd,67a243ea6d8e29a001947945,risk-reward,Homme grande taille,8,5,8,Femme petite taille,2,5,4,0,"[0, 1, 1]"
67e1ba8f55773c59ce2928f1,homme,23,ITA,bac+3,d2d3d9a9-2f34-4b29-b08c-8d7dbf0bb543,0,67e1bc5d55773c59ce292902,67a243ea6d8e29a001947949,effort-reward,Femme petite taille,7,8,4,Enfant,3,2,2,0,"[1, 0, 1]"
67e1ba8f55773c59ce2928f1,homme,23,ITA,bac+3,d2d3d9a9-2f34-4b29-b08c-8d7dbf0bb543,0,67e1bc8355773c59ce292906,67a51e546623f6ccab523c27,risk-effort,Homme petite taille,10,5,6,Femme grande taille,0,5,6,0,"[1, 1, 0]"
67e1ba8f55773c59ce2928f1,homme,23,ITA,bac+3,d2d3d9a9-2f34-4b29-b08c-8d7dbf0bb543,0,67e1bca355773c59ce29290a,67a51efa18a0dfe14aac016b,risk-effort,Femme petite taille,2,10,4,Personne âgée,8,0,1,0,"[1, 1, 0]"
67e1ba8f55773c59ce2928f1,homme,23,ITA,bac+3,d2d3d9a9-2f34-4b29-b08c-8d7dbf0bb543,0,67e1bcb755773c59ce29290e,67a243ea6d8e29a001947948,effort-reward,Enfant,0,3,2,Homme grande taille,10,7,8,0,"[1, 0, 1]"
67e1ba8f55773c59ce2928f1,homme,23,ITA,bac+3,d2d3d9a9-2f34-4b29-b08c-8d7dbf0bb543,0,67e1bcc355773c59ce292910,67a243ea6d8e29a001947945,risk-reward,Homme petite taille,10,5,6,Personne âgée,0,5,1,0,"[0, 1, 1]"
67e1ba8f55773c59ce2928f1,homme,23,ITA,bac+3,d2d3d9a9-2f34-4b29-b08c-8d7dbf0bb543,0,67e1bce455773c59ce292916,67a51eb49d8894e943d3ff93,risk-effort,Personne âgée,0,0,1,Homme grande taille,10,10,8,0,"[1, 1, 0]"
67e1ba8f55773c59ce2928f1,homme,23,ITA,bac+3,d2d3d9a9-2f34-4b29-b08c-8d7dbf0bb543,0,67e1bd0a55773c59ce29291c,67a243ea6d8e29a001947947,effort-reward,Enfant,4,1,2,Personne âgée,6,9,1,0,"[1, 0, 1]"
67e1ba8f55773c59ce2928f1,homme,23,ITA,bac+3,d2d3d9a9-2f34-4b29-b08c-8d7dbf0bb543,0,67e1bd1555773c59ce292922,67a51eb49d8894e943d3ff93,risk-effort,Personne âgée,0,0,1,Homme petite taille,10,10,6,0,"[1, 1, 0]"
67e1ba8f55773c59ce2928f1,homme,23,ITA,bac+3,d2d3d9a9-2f34-4b29-b08c-8d7dbf0bb543,0,67e1bd5f33cd8e0f85b31d73,67a243ea6d8e29a001947946,risk-reward,Femme grande taille,1,10,6,Robot,9,0,10,0,"[0, 1, 1]"
67e1ba8f55773c59ce2928f1,homme,23,ITA,bac+3,d2d3d9a9-2f34-4b29-b08c-8d7dbf0bb543,0,67e1bd6933cd8e0f85b31d75,67a243ea6d8e29a001947944,risk-reward,Robot,10,0,10,Enfant,0,10,2,0,"[0, 1, 1]"
67e1ba8f55773c59ce2928f1,homme,23,ITA,bac+3,d2d3d9a9-2f34-4b29-b08c-8d7dbf0bb543,0,67e1bd7233cd8e0f85b31d77,67a243ea6d8e29a001947947,effort-reward,Homme grande taille,10,9,8,Enfant,0,1,2,0,"[1, 0, 1]"
67e1ba8f55773c59ce2928f1,homme,23,ITA,bac+3,d2d3d9a9-2f34-4b29-b08c-8d7dbf0bb543,0,67e1bd7d33cd8e0f85b31d79,67a243ea6d8e29a001947949,effort-reward,Femme petite taille,0,10,4,Robot,10,0,10,0,"[1, 0, 1]"
67e1ba8f55773c59ce2928f1,homme,23,ITA,bac+3,d2d3d9a9-2f34-4b29-b08c-8d7dbf0bb543,0,67e1bd8c33cd8e0f85b31d7b,67a51efa18a0dfe14aac016b,risk-effort,Enfant,3,0,2,Femme grande taille,7,10,6,0,"[1, 1, 0]"
67e1ba8f55773c59ce2928f1,homme,23,ITA,bac+3,d2d3d9a9-2f34-4b29-b08c-8d7dbf0bb543,0,67e1d2eee1e0c1c3eecd6333,67a51efa18a0dfe14aac016b,risk-effort,Enfant,5,5,2,Femme grande taille,5,5,6,0,"[1, 1, 0]"
67e1ba8f55773c59ce2928f1,homme,23,ITA,bac+3,d2d3d9a9-2f34-4b29-b08c-8d7dbf0bb543,0,67e1d2efe1e0c1c3eecd6335,67a51efa18a0dfe14aac016b,risk-effort,Enfant,5,5,2,Femme grande taille,5,5,6,0,"[1, 1, 0]"
67e1ba8f55773c59ce2928f1,homme,23,ITA,bac+3,d2d3d9a9-2f34-4b29-b08c-8d7dbf0bb543,0,67e1d2f2e1e0c1c3eecd6337,67a51efa18a0dfe14aac016b,risk-effort,Enfant,5,5,2,Femme grande taille,5,5,6,0,"[1, 1, 0]"
67e1d2c9e1e0c1c3eecd6329,homme,24,ITA,bac+3,d2d3d9a9-2f34-4b29-b08c-8d7dbf0bb543,0,67e1bb3355773c59ce2928f5,67a243ea6d8e29a001947948,effort-reward,Femme grande taille,7,5,5,Personne âgée,3,5,1,0,"[1, 0, 1]"
67e1d2c9e1e0c1c3eecd6329,homme,24,ITA,bac+3,d2d3d9a9-2f34-4b29-b08c-8d7dbf0bb543,0,67e1bb4b55773c59ce2928f7,67a243ea6d8e29a001947946,risk-reward,Enfant,1,3,2,Homme grande taille,9,7,8,0,"[0, 1, 1]"
67e1d2c9e1e0c1c3eecd6329,homme,24,ITA,bac+3,d2d3d9a9-2f34-4b29-b08c-8d7dbf0bb543,0,67e1bbb755773c59ce2928f9,67a243ea6d8e29a001947944,risk-reward,Robot,7,0,10,Femme grande taille,3,10,6,0,"[0, 1, 1]"
67e1d2c9e1e0c1c3eecd6329,homme,24,ITA,bac+3,d2d3d9a9-2f34-4b29-b08c-8d7dbf0bb543,0,67e1bbe855773c59ce2928fb,67a51e546623f6ccab523c27,risk-effort,Homme grande taille,0,10,8,Personne âgée,10,0,1,0,"[1, 1, 0]"
67e1d2c9e1e0c1c3eecd6329,homme,24,ITA,bac+3,d2d3d9a9-2f34-4b29-b08c-8d7dbf0bb543,0,67e1bc1755773c59ce2928fd,67a243ea6d8e29a001947945,risk-reward,Homme grande taille,8,5,8,Femme petite taille,2,5,4,0,"[0, 1, 1]"
67e1d2c9e1e0c1c3eecd6329,homme,24,ITA,bac+3,d2d3d9a9-2f34-4b29-b08c-8d7dbf0bb543,0,67e1bc5d55773c59ce292902,67a243ea6d8e29a001947949,effort-reward,Femme petite taille,7,8,4,Enfant,3,2,2,0,"[1, 0, 1]"
67e1d2c9e1e0c1c3eecd6329,homme,24,ITA,bac+3,d2d3d9a9-2f34-4b29-b08c-8d7dbf0bb543,0,67e1bc8355773c59ce292906,67a51e546623f6ccab523c27,risk-effort,Homme petite taille,10,5,6,Femme grande taille,0,5,6,0,"[1, 1, 0]"
67e1d2c9e1e0c1c3eecd6329,homme,24,ITA,bac+3,d2d3d9a9-2f34-4b29-b08c-8d7dbf0bb543,0,67e1bca355773c59ce29290a,67a51efa18a0dfe14aac016b,risk-effort,Femme petite taille,2,10,4,Personne âgée,8,0,1,0,"[1, 1, 0]"
67e1d2c9e1e0c1c3eecd6329,homme,24,ITA,bac+3,d2d3d9a9-2f34-4b29-b08c-8d7dbf0bb543,0,67e1bcb755773c59ce29290e,67a243ea6d8e29a001947948,effort-reward,Enfant,0,3,2,Homme grande taille,10,7,8,0,"[1, 0, 1]"
67e1d2c9e1e0c1c3eecd6329,homme,24,ITA,bac+3,d2d3d9a9-2f34-4b29-b08c-8d7dbf0bb543,0,67e1bcc355773c59ce292910,67a243ea6d8e29a001947945,risk-reward,Homme petite taille,10,5,6,Personne âgée,0,5,1,0,"[0, 1, 1]"
67e1d2c9e1e0c1c3eecd6329,homme,24,ITA,bac+3,d2d3d9a9-2f34-4b29-b08c-8d7dbf0bb543,0,67e1bce455773c59ce292916,67a51eb49d8894e943d3ff93,risk-effort,Personne âgée,0,0,1,Homme grande taille,10,10,8,0,"[1, 1, 0]"
67e1d2c9e1e0c1c3eecd6329,homme,24,ITA,bac+3,d2d3d9a9-2f34-4b29-b08c-8d7dbf0bb543,0,67e1bd0a55773c59ce29291c,67a243ea6d8e29a001947947,effort-reward,Enfant,4,1,2,Personne âgée,6,9,1,0,"[1, 0, 1]"
67e1d2c9e1e0c1c3eecd6329,homme,24,ITA,bac+3,d2d3d9a9-2f34-4b29-b08c-8d7dbf0bb543,0,67e1bd1555773c59ce292922,67a51eb49d8894e943d3ff93,risk-effort,Personne âgée,0,0,1,Homme petite taille,10,10,6,0,"[1, 1, 0]"
67e1d2c9e1e0c1c3eecd6329,homme,24,ITA,bac+3,d2d3d9a9-2f34-4b29-b08c-8d7dbf0bb543,0,67e1bd5f33cd8e0f85b31d73,67a243ea6d8e29a001947946,risk-reward,Femme grande taille,1,10,6,Robot,9,0,10,0,"[0, 1, 1]"
67e1d2c9e1e0c1c3eecd6329,homme,24,ITA,bac+3,d2d3d9a9-2f34-4b29-b08c-8d7dbf0bb543,0,67e1bd6933cd8e0f85b31d75,67a243ea6d8e29a001947944,risk-reward,Robot,10,0,10,Enfant,0,10,2,0,"[0, 1, 1]"
67e1d2c9e1e0c1c3eecd6329,homme,24,ITA,bac+3,d2d3d9a9-2f34-4b29-b08c-8d7dbf0bb543,0,67e1bd7233cd8e0f85b31d77,67a243ea6d8e29a001947947,effort-reward,Homme grande taille,10,9,8,Enfant,0,1,2,0,"[1, 0, 1]"
67e1d2c9e1e0c1c3eecd6329,homme,24,ITA,bac+3,d2d3d9a9-2f34-4b29-b08c-8d7dbf0bb543,0,67e1bd7d33cd8e0f85b31d79,67a243ea6d8e29a001947949,effort-reward,Femme petite taille,0,10,4,Robot,10,0,10,0,"[1, 0, 1]"
67e1d2c9e1e0c1c3eecd6329,homme,24,ITA,bac+3,d2d3d9a9-2f34-4b29-b08c-8d7dbf0bb543,0,67e1bd8c33cd8e0f85b31d7b,67a51efa18a0dfe14aac016b,risk-effort,Enfant,3,0,2,Femme grande taille,7,10,6,0,"[1, 1, 0]"
67e1d2c9e1e0c1c3eecd6329,homme,24,ITA,bac+3,d2d3d9a9-2f34-4b29-b08c-8d7dbf0bb543,0,67e1d2eee1e0c1c3eecd6333,67a51efa18a0dfe14aac016b,risk-effort,Enfant,5,5,2,Femme grande taille,5,5,6,0,"[1, 1, 0]"
67e1d2c9e1e0c1c3eecd6329,homme,24,ITA,bac+3,d2d3d9a9-2f34-4b29-b08c-8d7dbf0bb543,0,67e1d2efe1e0c1c3eecd6335,67a51efa18a0dfe14aac016b,risk-effort,Enfant,5,5,2,Femme grande taille,5,5,6,0,"[1, 1, 0]"
67e1d2c9e1e0c1c3eecd6329,homme,24,ITA,bac+3,d2d3d9a9-2f34-4b29-b08c-8d7dbf0bb543,0,67e1d2f2e1e0c1c3eecd6337,67a51efa18a0dfe14aac016b,risk-effort,Enfant,5,5,2,Femme grande taille,5,5,6,0,"[1, 1, 0]"
67e1bc1c55773c59ce2928ff,homme,24,FRA,employe,32bb87b1-0fea-45f8-a052-11eee481457b,0,67e1bc7a55773c59ce292904,67a243ea6d8e29a001947944,risk-reward,Homme petite taille,4,5,6,Femme grande taille,6,5,7,0,"[0, 1, 1]"
67e1bc1c55773c59ce2928ff,homme,24,FRA,employe,32bb87b1-0fea-45f8-a052-11eee481457b,0,67e1bc9a55773c59ce292908,67a51eb49d8894e943d3ff93,risk-effort,Femme grande taille,7,7,7,Femme petite taille,3,3,3,0,"[1, 1, 0]"
67e1bc1c55773c59ce2928ff,homme,24,FRA,employe,32bb87b1-0fea-45f8-a052-11eee481457b,0,67e1bca955773c59ce29290c,67a243ea6d8e29a001947944,risk-reward,Enfant,0,10,1,Robot,10,0,10,0,"[0, 1, 1]"
67e1bc1c55773c59ce2928ff,homme,24,FRA,employe,32bb87b1-0fea-45f8-a052-11eee481457b,0,67e1bcc755773c59ce292912,67a243ea6d8e29a001947947,effort-reward,Homme petite taille,7,7,6,Personne âgée,3,3,2,0,"[1, 0, 1]"
67e1bc1c55773c59ce2928ff,homme,24,FRA,employe,32bb87b1-0fea-45f8-a052-11eee481457b,0,67e1bcd755773c59ce292914,67a243ea6d8e29a001947947,effort-reward,Femme petite taille,4,4,3,Homme grande taille,6,6,8,0,"[1, 0, 1]"
67e1bc1c55773c59ce2928ff,homme,24,FRA,employe,32bb87b1-0fea-45f8-a052-11eee481457b,0,67e1bce955773c59ce292918,67a51e546623f6ccab523c27,risk-effort,Homme petite taille,0,0,6,Robot,10,10,10,0,"[1, 1, 0]"
67e1bc1c55773c59ce2928ff,homme,24,FRA,employe,32bb87b1-0fea-45f8-a052-11eee481457b,0,67e1bcf255773c59ce29291a,67a51e546623f6ccab523c27,risk-effort,Enfant,4,4,1,Femme petite taille,6,6,3,0,"[1, 1, 0]"
67e1bc1c55773c59ce2928ff,homme,24,FRA,employe,32bb87b1-0fea-45f8-a052-11eee481457b,0,67e1bd0b55773c59ce29291e,67a243ea6d8e29a001947949,effort-reward,Homme grande taille,5,5,8,Personne âgée,5,5,2,0,"[1, 0, 1]"
67e1bc1c55773c59ce2928ff,homme,24,FRA,employe,32bb87b1-0fea-45f8-a052-11eee481457b,0,67e1bd1155773c59ce292920,67a51eb49d8894e943d3ff93,risk-effort,Homme petite taille,7,7,6,Femme petite taille,3,3,3,0,"[1, 1, 0]"
67e1bc1c55773c59ce2928ff,homme,24,FRA,employe,32bb87b1-0fea-45f8-a052-11eee481457b,0,67e1bd2255773c59ce292924,67a243ea6d8e29a001947946,risk-reward,Homme grande taille,7,5,8,Homme petite taille,3,5,6,0,"[0, 1, 1]"
67e1bc1c55773c59ce2928ff,homme,24,FRA,employe,32bb87b1-0fea-45f8-a052-11eee481457b,0,67e1bd2b55773c59ce292926,67a243ea6d8e29a001947949,effort-reward,Homme petite taille,6,6,6,Personne âgée,4,4,2,0,"[1, 0, 1]"
67e1bc1c55773c59ce2928ff,homme,24,FRA,employe,32bb87b1-0fea-45f8-a052-11eee481457b,0,67e1bd3155773c59ce292928,67a243ea6d8e29a001947945,risk-reward,Robot,10,0,10,Femme petite taille,0,10,3,0,"[0, 1, 1]"
67e1bc1c55773c59ce2928ff,homme,24,FRA,employe,32bb87b1-0fea-45f8-a052-11eee481457b,0,67e1bd3755773c59ce29292a,67a243ea6d8e29a001947948,effort-reward,Personne âgée,5,5,2,Femme grande taille,5,5,7,0,"[1, 0, 1]"
67e1bc1c55773c59ce2928ff,homme,24,FRA,employe,32bb87b1-0fea-45f8-a052-11eee481457b,0,67e1bd3f55773c59ce29292c,67a51efa18a0dfe14aac016b,risk-effort,Robot,10,10,10,Personne âgée,0,0,2,0,"[1, 1, 0]"
67e1bc1c55773c59ce2928ff,homme,24,FRA,employe,32bb87b1-0fea-45f8-a052-11eee481457b,0,67e1bd4355773c59ce29292e,67a243ea6d8e29a001947948,effort-reward,Robot,10,0,10,Personne âgée,0,10,2,0,"[1, 0, 1]"
67e1bc1c55773c59ce2928ff,homme,24,FRA,employe,32bb87b1-0fea-45f8-a052-11eee481457b,0,67e1bd4955773c59ce292930,67a51efa18a0dfe14aac016b,risk-effort,Robot,10,10,10,Femme petite taille,0,0,3,0,"[1, 1, 0]"
67e1bc1c55773c59ce2928ff,homme,24,FRA,employe,32bb87b1-0fea-45f8-a052-11eee481457b,0,67e1bd5155773c59ce292932,67a243ea6d8e29a001947946,risk-reward,Personne âgée,3,4,2,Homme grande taille,7,6,8,0,"[0, 1, 1]"
67e1bc1c55773c59ce2928ff,homme,24,FRA,employe,32bb87b1-0fea-45f8-a052-11eee481457b,0,67e1bd5655773c59ce292934,67a243ea6d8e29a001947945,risk-reward,Femme grande taille,0,10,7,Robot,10,0,10,0,"[0, 1, 1]"
67e1c4a249a64da7597b189d,femme,21,PER,bac+2,733a8073-5e8a-4463-9bb2-5f09d76ff8db,0,67e1c55849a64da7597b18a1,67a243ea6d8e29a001947944,risk-reward,Enfant,3,4,2,Robot,7,6,7,0,"[0, 1, 1]"
67e1c4a249a64da7597b189d,femme,21,PER,bac+2,733a8073-5e8a-4463-9bb2-5f09d76ff8db,0,67e1c59049a64da7597b18a3,67a243ea6d8e29a001947948,effort-reward,Homme petite taille,4,4,4,Femme grande taille,6,6,8,0,"[1, 0, 1]"
67e1c4a249a64da7597b189d,femme,21,PER,bac+2,733a8073-5e8a-4463-9bb2-5f09d76ff8db,0,67e1c5c849a64da7597b18a5,67a243ea6d8e29a001947946,risk-reward,Enfant,5,5,2,Personne âgée,5,5,2,0,"[0, 1, 1]"
67e1c4a249a64da7597b189d,femme,21,PER,bac+2,733a8073-5e8a-4463-9bb2-5f09d76ff8db,0,67e1c5cc49a64da7597b18a7,67a51eb49d8894e943d3ff93,risk-effort,Homme grande taille,5,5,9,Enfant,5,5,2,0,"[1, 1, 0]"
67e1c4a249a64da7597b189d,femme,21,PER,bac+2,733a8073-5e8a-4463-9bb2-5f09d76ff8db,0,67e1c64049a64da7597b18a9,67a243ea6d8e29a001947947,effort-reward,Robot,6,6,7,Homme grande taille,4,4,9,0,"[1, 0, 1]"
67e1c4a249a64da7597b189d,femme,21,PER,bac+2,733a8073-5e8a-4463-9bb2-5f09d76ff8db,0,67e1c65649a64da7597b18ab,67a243ea6d8e29a001947948,effort-reward,Enfant,3,5,2,Femme petite taille,7,5,4,0,"[1, 0, 1]"
67e1c4a249a64da7597b189d,femme,21,PER,bac+2,733a8073-5e8a-4463-9bb2-5f09d76ff8db,0,67e1c67e49a64da7597b18ad,67a243ea6d8e29a001947945,risk-reward,Homme petite taille,5,5,4,Femme grande taille,5,5,8,0,"[0, 1, 1]"
67e1c4a249a64da7597b189d,femme,21,PER,bac+2,733a8073-5e8a-4463-9bb2-5f09d76ff8db,0,67e1c69449a64da7597b18af,67a243ea6d8e29a001947949,effort-reward,Homme petite taille,7,5,4,Enfant,3,5,2,0,"[1, 0, 1]"
67e1c4a249a64da7597b189d,femme,21,PER,bac+2,733a8073-5e8a-4463-9bb2-5f09d76ff8db,0,67e1c6a149a64da7597b18b1,67a243ea6d8e29a001947947,effort-reward,Robot,7,5,7,Femme petite taille,3,5,4,0,"[1, 0, 1]"
67e1c4a249a64da7597b189d,femme,21,PER,bac+2,733a8073-5e8a-4463-9bb2-5f09d76ff8db,0,67e1c6bf49a64da7597b18b3,67a243ea6d8e29a001947944,risk-reward,Personne âgée,5,5,2,Enfant,5,5,2,0,"[0, 1, 1]"
67e1c4a249a64da7597b189d,femme,21,PER,bac+2,733a8073-5e8a-4463-9bb2-5f09d76ff8db,0,67e1c6cb49a64da7597b18b5,67a243ea6d8e29a001947949,effort-reward,Homme petite taille,7,5,4,Personne âgée,3,5,2,0,"[1, 0, 1]"
67e1c4a249a64da7597b189d,femme,21,PER,bac+2,733a8073-5e8a-4463-9bb2-5f09d76ff8db,0,67e1c6d449a64da7597b18b7,67a51e546623f6ccab523c27,risk-effort,Homme petite taille,2,5,4,Robot,8,5,7,0,"[1, 1, 0]"
67e1c4a249a64da7597b189d,femme,21,PER,bac+2,733a8073-5e8a-4463-9bb2-5f09d76ff8db,0,67e1c6e449a64da7597b18b9,67a51efa18a0dfe14aac016b,risk-effort,Enfant,5,4,2,Homme petite taille,5,6,4,0,"[1, 1, 0]"
67e1c4a249a64da7597b189d,femme,21,PER,bac+2,733a8073-5e8a-4463-9bb2-5f09d76ff8db,0,67e1c70049a64da7597b18bb,67a51e546623f6ccab523c27,risk-effort,Robot,2,7,7,Femme grande taille,8,3,8,0,"[1, 1, 0]"
67e1c4a249a64da7597b189d,femme,21,PER,bac+2,733a8073-5e8a-4463-9bb2-5f09d76ff8db,0,67e1c74649a64da7597b18bd,67a243ea6d8e29a001947945,risk-reward,Enfant,5,5,2,Robot,5,5,7,0,"[0, 1, 1]"
67e1c4a249a64da7597b189d,femme,21,PER,bac+2,733a8073-5e8a-4463-9bb2-5f09d76ff8db,0,67e1c75149a64da7597b18bf,67a51eb49d8894e943d3ff93,risk-effort,Robot,9,3,7,Enfant,1,7,2,0,"[1, 1, 0]"
67e1c4a249a64da7597b189d,femme,21,PER,bac+2,733a8073-5e8a-4463-9bb2-5f09d76ff8db,0,67e1c77049a64da7597b18c1,67a51efa18a0dfe14aac016b,risk-effort,Femme petite taille,5,2,4,Robot,5,8,7,0,"[1, 1, 0]"
67e1c4a249a64da7597b189d,femme,21,PER,bac+2,733a8073-5e8a-4463-9bb2-5f09d76ff8db,0,67e1c77849a64da7597b18c3,67a243ea6d8e29a001947946,risk-reward,Enfant,2,5,2,Homme grande taille,8,5,9,0,"[0, 1, 1]"
67e1ce6f8c30d2a75925b391,homme,25,DZA,employe,8b9d5e09-90da-4d33-b5b7-16994667641b,0,67e1cf3fe1e0c1c3eecd628d,67a243ea6d8e29a001947948,effort-reward,Femme petite taille,3,8,4,Enfant,7,2,5,0,"[1, 0, 1]"
