genre,age,nationalite,niveauEtudes,sessionId,associationType,personAType,valueOneA,valueTwoA,forceA,personBType,valueOneB,valueTwoB,forceB
homme,23,ITA,bac+3,d2d3d9a9-2f34-4b29-b08c-8d7dbf0bb543,effort-reward,Enfant,4,1,2,Personne âgée,6,9,1
homme,23,ITA,bac+3,d2d3d9a9-2f34-4b29-b08c-8d7dbf0bb543,risk-effort,Personne âgée,0,0,1,Homme petite taille,10,10,6
homme,23,ITA,bac+3,d2d3d9a9-2f34-4b29-b08c-8d7dbf0bb543,risk-reward,Femme grande taille,1,10,6,Robot,9,0,10
homme,23,ITA,bac+3,d2d3d9a9-2f34-4b29-b08c-8d7dbf0bb543,risk-reward,Robot,10,0,10,Enfant,0,10,2
homme,23,ITA,bac+3,d2d3d9a9-2f34-4b29-b08c-8d7dbf0bb543,effort-reward,Homme grande taille,10,9,8,Enfant,0,1,2
homme,23,ITA,bac+3,d2d3d9a9-2f34-4b29-b08c-8d7dbf0bb543,effort-reward,Femme petite taille,0,10,4,Robot,10,0,10
homme,23,ITA,bac+3,d2d3d9a9-2f34-4b29-b08c-8d7dbf0bb543,risk-effort,Enfant,3,0,2,Femme grande taille,7,10,6
homme,23,ITA,bac+3,d2d3d9a9-2f34-4b29-b08c-8d7dbf0bb543,risk-effort,Enfant,5,5,2,Femme grande taille,5,5,6
homme,23,ITA,bac+3,d2d3d9a9-2f34-4b29-b08c-8d7dbf0bb543,risk-effort,Enfant,5,5,2,Femme grande taille,5,5,6
homme,23,ITA,bac+3,d2d3d9a9-2f34-4b29-b08c-8d7dbf0bb543,risk-effort,Enfant,5,5,2,Femme grande taille,5,5,6
homme,24,FRA,employe,32bb87b1-0fea-45f8-a052-11eee481457b,risk-reward,Homme petite taille,4,5,6,Femme grande taille,6,5,7
homme,24,FRA,employe,32bb87b1-0fea-45f8-a052-11eee481457b,risk-effort,Femme grande taille,7,7,7,Femme petite taille,3,3,3
homme,24,FRA,employe,32bb87b1-0fea-45f8-a052-11eee481457b,risk-reward,Enfant,0,10,1,Robot,10,0,10
homme,24,FRA,employe,32bb87b1-0fea-45f8-a052-11eee481457b,effort-reward,Homme petite taille,7,7,6,Personne âgée,3,3,2
homme,24,FRA,employe,32bb87b1-0fea-45f8-a052-11eee481457b,effort-reward,Femme petite taille,4,4,3,Homme grande taille,6,6,8
homme,24,FRA,employe,32bb87b1-0fea-45f8-a052-11eee481457b,risk-effort,Homme petite taille,0,0,6,Robot,10,10,10
homme,24,FRA,employe,32bb87b1-0fea-45f8-a052-11eee481457b,risk-effort,Enfant,4,4,1,Femme petite taille,6,6,3
homme,24,FRA,employe,32bb87b1-0fea-45f8-a052-11eee481457b,effort-reward,Homme grande taille,5,5,8,Personne âgée,5,5,2
homme,24,FRA,employe,32bb87b1-0fea-45f8-a052-11eee481457b,risk-effort,Homme petite taille,7,7,6,Femme petite taille,3,3,3
homme,24,FRA,employe,32bb87b1-0fea-45f8-a052-11eee481457b,risk-reward,Homme grande taille,7,5,8,Homme petite taille,3,5,6
homme,24,FRA,employe,32bb87b1-0fea-45f8-a052-11eee481457b,effort-reward,Homme petite taille,6,6,6,Personne âgée,4,4,2
homme,24,FRA,employe,32bb87b1-0fea-45f8-a052-11eee481457b,risk-reward,Robot,10,0,10,Femme petite taille,0,10,3
homme,24,FRA,employe,32bb87b1-0fea-45f8-a052-11eee481457b,effort-reward,Personne âgée,5,5,2,Femme grande taille,5,5,7
homme,24,FRA,employe,32bb87b1-0fea-45f8-a052-11eee481457b,risk-effort,Robot,10,10,10,Personne âgée,0,0,2
homme,24,FRA,employe,32bb87b1-0fea-45f8-a052-11eee481457b,effort-reward,Robot,10,0,10,Personne âgée,0,10,2
homme,24,FRA,employe,32bb87b1-0fea-45f8-a052-11eee481457b,risk-effort,Robot,10,10,10,Femme petite taille,0,0,3
homme,24,FRA,employe,32bb87b1-0fea-45f8-a052-11eee481457b,risk-reward,Personne âgée,3,4,2,Homme grande taille,7,6,8
homme,24,FRA,employe,32bb87b1-0fea-45f8-a052-11eee481457b,risk-reward,Femme grande taille,0,10,7,Robot,10,0,10
femme,21,PER,bac+2,733a8073-5e8a-4463-9bb2-5f09d76ff8db,risk-reward,Enfant,3,4,2,Robot,7,6,7
femme,21,PER,bac+2,733a8073-5e8a-4463-9bb2-5f09d76ff8db,effort-reward,Homme petite taille,4,4,4,Femme grande taille,6,6,8
femme,21,PER,bac+2,733a8073-5e8a-4463-9bb2-5f09d76ff8db,risk-reward,Enfant,5,5,2,Personne âgée,5,5,2
femme,21,PER,bac+2,733a8073-5e8a-4463-9bb2-5f09d76ff8db,risk-effort,Homme grande taille,5,5,9,Enfant,5,5,2
femme,21,PER,bac+2,733a8073-5e8a-4463-9bb2-5f09d76ff8db,effort-reward,Robot,6,6,7,Homme grande taille,4,4,9
femme,21,PER,bac+2,733a8073-5e8a-4463-9bb2-5f09d76ff8db,effort-reward,Enfant,3,5,2,Femme petite taille,7,5,4
femme,21,PER,bac+2,733a8073-5e8a-4463-9bb2-5f09d76ff8db,risk-reward,Homme petite taille,5,5,4,Femme grande taille,5,5,8
femme,21,PER,bac+2,733a8073-5e8a-4463-9bb2-5f09d76ff8db,effort-reward,Homme petite taille,7,5,4,Enfant,3,5,2
femme,21,PER,bac+2,733a8073-5e8a-4463-9bb2-5f09d76ff8db,effort-reward,Robot,7,5,7,Femme petite taille,3,5,4
femme,21,PER,bac+2,733a8073-5e8a-4463-9bb2-5f09d76ff8db,risk-reward,Personne âgée,5,5,2,Enfant,5,5,2
femme,21,PER,bac+2,733a8073-5e8a-4463-9bb2-5f09d76ff8db,effort-reward,Homme petite taille,7,5,4,Personne âgée,3,5,2
femme,21,PER,bac+2,733a8073-5e8a-4463-9bb2-5f09d76ff8db,risk-effort,Homme petite taille,2,5,4,Robot,8,5,7
femme,21,PER,bac+2,733a8073-5e8a-4463-9bb2-5f09d76ff8db,risk-effort,Enfant,5,4,2,Homme petite taille,5,6,4
femme,21,PER,bac+2,733a8073-5e8a-4463-9bb2-5f09d76ff8db,risk-effort,Robot,2,7,7,Femme grande taille,8,3,8
femme,21,PER,bac+2,733a8073-5e8a-4463-9bb2-5f09d76ff8db,risk-reward,Enfant,5,5,2,Robot,5,5,7
femme,21,PER,bac+2,733a8073-5e8a-4463-9bb2-5f09d76ff8db,risk-effort,Robot,9,3,7,Enfant,1,7,2
femme,21,PER,bac+2,733a8073-5e8a-4463-9bb2-5f09d76ff8db,risk-effort,Femme petite taille,5,2,4,Robot,5,8,7
femme,21,PER,bac+2,733a8073-5e8a-4463-9bb2-5f09d76ff8db,risk-reward,Enfant,2,5,2,Homme grande taille,8,5,9
homme,25,DZA,employe,8b9d5e09-90da-4d33-b5b7-16994667641b,effort-reward,Femme petite taille,3,8,4,Enfant,7,2,5
homme,25,DZA,employe,8b9d5e09-90da-4d33-b5b7-16994667641b,risk-effort,Homme petite taille,2,8,5,Femme grande taille,8,2,6
homme,25,DZA,employe,8b9d5e09-90da-4d33-b5b7-16994667641b,risk-reward,Enfant,5,4,5,Femme grande taille,5,6,6
homme,25,DZA,employe,8b9d5e09-90da-4d33-b5b7-16994667641b,risk-effort,Homme grande taille,9,2,9,Femme grande taille,1,8,6
homme,25,DZA,employe,8b9d5e09-90da-4d33-b5b7-16994667641b,effort-reward,Femme petite taille,5,5,4,Personne âgée,5,5,4
homme,25,DZA,employe,8b9d5e09-90da-4d33-b5b7-16994667641b,risk-effort,Personne âgée,0,3,4,Homme grande taille,10,7,9
homme,25,DZA,employe,8b9d5e09-90da-4d33-b5b7-16994667641b,effort-reward,Personne âgée,5,5,4,Femme petite taille,5,5,4
homme,25,DZA,employe,8b9d5e09-90da-4d33-b5b7-16994667641b,risk-reward,Femme grande taille,7,5,6,Personne âgée,3,5,4
homme,25,DZA,employe,8b9d5e09-90da-4d33-b5b7-16994667641b,risk-effort,Femme petite taille,8,3,4,Femme grande taille,2,7,6
homme,25,DZA,employe,8b9d5e09-90da-4d33-b5b7-16994667641b,effort-reward,Femme grande taille,0,10,6,Homme grande taille,10,0,9
homme,25,DZA,employe,8b9d5e09-90da-4d33-b5b7-16994667641b,risk-reward,Femme grande taille,5,5,6,Personne âgée,5,5,4
homme,25,DZA,employe,8b9d5e09-90da-4d33-b5b7-16994667641b,risk-reward,Femme grande taille,5,5,6,Personne âgée,5,5,4
homme,25,DZA,employe,8b9d5e09-90da-4d33-b5b7-16994667641b,risk-effort,Homme petite taille,5,5,5,Femme petite taille,5,5,4
homme,25,DZA,employe,8b9d5e09-90da-4d33-b5b7-16994667641b,risk-effort,Homme petite taille,5,5,5,Femme petite taille,5,5,4
homme,25,DZA,employe,8b9d5e09-90da-4d33-b5b7-16994667641b,risk-reward,Robot,5,5,9,Homme petite taille,5,5,5
homme,25,DZA,employe,8b9d5e09-90da-4d33-b5b7-16994667641b,risk-reward,Robot,5,5,9,Homme petite taille,5,5,5
homme,25,DZA,employe,8b9d5e09-90da-4d33-b5b7-16994667641b,risk-reward,Robot,5,5,9,Homme petite taille,5,5,5
homme,25,DZA,employe,8b9d5e09-90da-4d33-b5b7-16994667641b,effort-reward,Personne âgée,5,5,4,Femme petite taille,5,5,4
homme,25,DZA,employe,8b9d5e09-90da-4d33-b5b7-16994667641b,effort-reward,Personne âgée,5,5,4,Femme petite taille,5,5,4
homme,25,DZA,employe,8b9d5e09-90da-4d33-b5b7-16994667641b,risk-effort,Robot,5,5,9,Femme grande taille,5,5,6
homme,25,DZA,employe,8b9d5e09-90da-4d33-b5b7-16994667641b,risk-effort,Robot,5,5,9,Femme grande taille,5,5,6
homme,25,DZA,employe,8b9d5e09-90da-4d33-b5b7-16994667641b,effort-reward,Homme petite taille,5,5,5,Homme grande taille,5,5,9
homme,52,DZA,employe,383490d1-14b0-421f-a401-abcdacd82a51,risk-effort,Personne âgée,5,0,1,Homme grande taille,5,10,6
homme,52,DZA,employe,383490d1-14b0-421f-a401-abcdacd82a51,effort-reward,Robot,0,5,1,Femme grande taille,10,5,1
homme,52,DZA,employe,383490d1-14b0-421f-a401-abcdacd82a51,risk-reward,Personne âgée,5,4,1,Femme grande taille,5,6,1
homme,52,DZA,employe,383490d1-14b0-421f-a401-abcdacd82a51,effort-reward,Femme grande taille,5,5,1,Personne âgée,5,5,1
homme,52,DZA,employe,383490d1-14b0-421f-a401-abcdacd82a51,risk-reward,Homme grande taille,5,5,6,Homme petite taille,5,5,1
homme,52,DZA,employe,383490d1-14b0-421f-a401-abcdacd82a51,risk-effort,Enfant,5,5,1,Femme grande taille,5,5,1
homme,52,DZA,employe,383490d1-14b0-421f-a401-abcdacd82a51,effort-reward,Enfant,5,5,1,Femme grande taille,5,5,1
homme,52,DZA,employe,383490d1-14b0-421f-a401-abcdacd82a51,risk-effort,Femme petite taille,5,5,1,Femme grande taille,5,5,1
homme,52,DZA,employe,383490d1-14b0-421f-a401-abcdacd82a51,risk-reward,Personne âgée,5,5,1,Robot,5,5,1
homme,52,DZA,employe,383490d1-14b0-421f-a401-abcdacd82a51,effort-reward,Enfant,5,5,1,Homme grande taille,5,5,6
homme,52,DZA,employe,383490d1-14b0-421f-a401-abcdacd82a51,risk-effort,Personne âgée,5,5,1,Robot,5,5,1
homme,52,DZA,employe,383490d1-14b0-421f-a401-abcdacd82a51,risk-effort,Personne âgée,5,5,1,Robot,5,5,1
homme,52,DZA,employe,383490d1-14b0-421f-a401-abcdacd82a51,risk-effort,Homme petite taille,5,5,1,Enfant,5,5,1
homme,52,DZA,employe,383490d1-14b0-421f-a401-abcdacd82a51,risk-reward,Femme petite taille,5,5,1,Enfant,5,5,1
homme,52,DZA,employe,383490d1-14b0-421f-a401-abcdacd82a51,effort-reward,Femme grande taille,5,5,1,Femme petite taille,5,5,1
homme,52,DZA,employe,383490d1-14b0-421f-a401-abcdacd82a51,effort-reward,Personne âgée,5,5,1,Enfant,5,5,1
homme,52,DZA,employe,383490d1-14b0-421f-a401-abcdacd82a51,risk-reward,Homme grande taille,5,5,6,Femme grande taille,5,5,1
homme,52,DZA,employe,383490d1-14b0-421f-a401-abcdacd82a51,risk-reward,Femme petite taille,5,5,1,Homme grande taille,5,5,6
homme,52,DZA,employe,383490d1-14b0-421f-a401-abcdacd82a51,risk-reward,Femme petite taille,5,5,8,Homme grande taille,5,5,1
homme,52,DZA,employe,383490d1-14b0-421f-a401-abcdacd82a51,risk-reward,Femme petite taille,5,5,8,Homme grande taille,5,5,1
homme,52,DZA,employe,383490d1-14b0-421f-a401-abcdacd82a51,risk-reward,Femme petite taille,5,5,1,Homme grande taille,5,5,1
femme,12,DZA,college,6771a1e9-1e23-4528-9363-f8f48ee2e483,risk-effort,Homme petite taille,7,7,6,Enfant,3,3,4
femme,12,DZA,college,6771a1e9-1e23-4528-9363-f8f48ee2e483,risk-effort,Femme petite taille,2,2,5,Homme grande taille,8,8,8
femme,12,DZA,college,6771a1e9-1e23-4528-9363-f8f48ee2e483,risk-effort,Robot,7,3,10,Femme grande taille,3,7,6
femme,12,DZA,college,6771a1e9-1e23-4528-9363-f8f48ee2e483,effort-reward,Femme grande taille,4,4,6,Femme petite taille,6,6,5
femme,12,DZA,college,6771a1e9-1e23-4528-9363-f8f48ee2e483,risk-effort,Homme grande taille,7,6,8,Femme petite taille,3,4,5
femme,12,DZA,college,6771a1e9-1e23-4528-9363-f8f48ee2e483,risk-reward,Robot,8,4,10,Femme grande taille,2,6,6
femme,12,DZA,college,6771a1e9-1e23-4528-9363-f8f48ee2e483,risk-reward,Homme petite taille,2,6,6,Robot,8,4,10
femme,12,DZA,college,6771a1e9-1e23-4528-9363-f8f48ee2e483,effort-reward,Enfant,6,6,4,Personne âgée,4,4,4
femme,12,DZA,college,6771a1e9-1e23-4528-9363-f8f48ee2e483,effort-reward,Personne âgée,3,4,4,Homme petite taille,7,6,6
femme,12,DZA,college,6771a1e9-1e23-4528-9363-f8f48ee2e483,effort-reward,Homme petite taille,7,6,6,Enfant,3,4,4
femme,12,DZA,college,6771a1e9-1e23-4528-9363-f8f48ee2e483,effort-reward,Homme petite taille,6,6,6,Personne âgée,4,4,4
femme,12,DZA,college,6771a1e9-1e23-4528-9363-f8f48ee2e483,risk-reward,Femme grande taille,6,6,6,Enfant,4,4,4
femme,12,DZA,college,6771a1e9-1e23-4528-9363-f8f48ee2e483,effort-reward,Enfant,3,2,4,Femme petite taille,7,8,5
femme,12,DZA,college,6771a1e9-1e23-4528-9363-f8f48ee2e483,risk-reward,Personne âgée,4,4,4,Enfant,6,6,4
femme,12,DZA,college,6771a1e9-1e23-4528-9363-f8f48ee2e483,risk-effort,Femme grande taille,6,7,6,Homme petite taille,4,3,6
femme,12,DZA,college,6771a1e9-1e23-4528-9363-f8f48ee2e483,risk-reward,Robot,8,4,10,Homme petite taille,2,6,6
femme,12,DZA,college,6771a1e9-1e23-4528-9363-f8f48ee2e483,risk-effort,Personne âgée,4,4,4,Enfant,6,6,4
femme,12,DZA,college,6771a1e9-1e23-4528-9363-f8f48ee2e483,risk-reward,Femme grande taille,8,6,6,Enfant,2,4,4
femme,47,DZA,employe,fc31d427-7c43-4064-98f5-be9523044deb,risk-reward,Homme petite taille,8,9,6,Robot,2,1,9
femme,47,DZA,employe,fc31d427-7c43-4064-98f5-be9523044deb,effort-reward,Femme petite taille,5,5,4,Homme petite taille,5,5,6
femme,47,DZA,employe,fc31d427-7c43-4064-98f5-be9523044deb,risk-effort,Robot,9,8,9,Enfant,1,2,3
femme,47,DZA,employe,fc31d427-7c43-4064-98f5-be9523044deb,effort-reward,Femme grande taille,5,5,6,Homme petite taille,5,5,6
femme,47,DZA,employe,fc31d427-7c43-4064-98f5-be9523044deb,risk-effort,Homme grande taille,5,5,8,Enfant,5,5,3
femme,47,DZA,employe,fc31d427-7c43-4064-98f5-be9523044deb,effort-reward,Femme petite taille,5,5,4,Enfant,5,5,3
femme,47,DZA,employe,fc31d427-7c43-4064-98f5-be9523044deb,risk-effort,Femme petite taille,3,6,4,Personne âgée,7,4,2
femme,47,DZA,employe,fc31d427-7c43-4064-98f5-be9523044deb,risk-reward,Femme petite taille,1,0,4,Personne âgée,9,10,2
femme,47,DZA,employe,fc31d427-7c43-4064-98f5-be9523044deb,risk-effort,Femme petite taille,5,5,4,Enfant,5,5,3
femme,47,DZA,employe,fc31d427-7c43-4064-98f5-be9523044deb,risk-effort,Homme petite taille,2,1,6,Personne âgée,8,9,2
femme,47,DZA,employe,fc31d427-7c43-4064-98f5-be9523044deb,risk-reward,Robot,7,6,9,Femme grande taille,3,4,6
femme,47,DZA,employe,fc31d427-7c43-4064-98f5-be9523044deb,effort-reward,Femme grande taille,2,6,6,Enfant,8,4,3
femme,47,DZA,employe,fc31d427-7c43-4064-98f5-be9523044deb,risk-reward,Femme grande taille,2,7,6,Enfant,8,3,3
femme,47,DZA,employe,fc31d427-7c43-4064-98f5-be9523044deb,effort-reward,Femme grande taille,4,4,6,Femme petite taille,6,6,4
femme,47,DZA,employe,fc31d427-7c43-4064-98f5-be9523044deb,risk-effort,Femme grande taille,2,1,6,Enfant,8,9,3
femme,47,DZA,employe,fc31d427-7c43-4064-98f5-be9523044deb,effort-reward,Femme petite taille,7,0,4,Homme grande taille,3,10,8
femme,47,DZA,employe,fc31d427-7c43-4064-98f5-be9523044deb,risk-reward,Femme petite taille,5,5,4,Femme grande taille,5,5,6
femme,47,DZA,employe,fc31d427-7c43-4064-98f5-be9523044deb,risk-reward,Enfant,5,5,3,Personne âgée,5,5,2
homme,47,DZA,employe,fdd23f8a-1a41-4875-990a-22467811ce02,risk-effort,Personne âgée,3,3,2,Homme petite taille,7,7,3
homme,47,DZA,employe,fdd23f8a-1a41-4875-990a-22467811ce02,risk-reward,Personne âgée,3,4,2,Homme grande taille,7,6,4
homme,47,DZA,employe,fdd23f8a-1a41-4875-990a-22467811ce02,risk-effort,Enfant,5,5,1,Homme grande taille,5,5,4
homme,47,DZA,employe,fdd23f8a-1a41-4875-990a-22467811ce02,risk-effort,Homme grande taille,3,4,4,Enfant,7,6,1
homme,47,DZA,employe,fdd23f8a-1a41-4875-990a-22467811ce02,risk-reward,Homme grande taille,2,4,4,Enfant,8,6,1
homme,47,DZA,employe,fdd23f8a-1a41-4875-990a-22467811ce02,risk-reward,Enfant,5,5,1,Personne âgée,5,5,2
homme,47,DZA,employe,fdd23f8a-1a41-4875-990a-22467811ce02,effort-reward,Homme petite taille,4,5,3,Homme grande taille,6,5,4
homme,47,DZA,employe,fdd23f8a-1a41-4875-990a-22467811ce02,effort-reward,Homme grande taille,5,5,4,Robot,5,5,3
homme,47,DZA,employe,fdd23f8a-1a41-4875-990a-22467811ce02,effort-reward,Femme grande taille,5,5,2,Personne âgée,5,5,2
homme,47,DZA,employe,fdd23f8a-1a41-4875-990a-22467811ce02,effort-reward,Femme grande taille,3,4,2,Enfant,7,6,1
homme,47,DZA,employe,fdd23f8a-1a41-4875-990a-22467811ce02,risk-reward,Homme petite taille,3,4,3,Personne âgée,7,6,2
homme,47,DZA,employe,fdd23f8a-1a41-4875-990a-22467811ce02,risk-effort,Homme petite taille,4,5,3,Robot,6,5,3
homme,47,DZA,employe,fdd23f8a-1a41-4875-990a-22467811ce02,risk-effort,Robot,5,5,3,Homme petite taille,5,5,3
homme,47,DZA,employe,fdd23f8a-1a41-4875-990a-22467811ce02,risk-reward,Homme grande taille,3,4,4,Personne âgée,7,6,2
homme,47,DZA,employe,fdd23f8a-1a41-4875-990a-22467811ce02,effort-reward,Personne âgée,3,4,2,Enfant,7,6,1
homme,47,DZA,employe,fdd23f8a-1a41-4875-990a-22467811ce02,risk-reward,Femme petite taille,4,4,2,Robot,6,6,3
homme,47,DZA,employe,fdd23f8a-1a41-4875-990a-22467811ce02,effort-reward,Enfant,3,4,1,Femme grande taille,7,6,2
homme,47,DZA,employe,fdd23f8a-1a41-4875-990a-22467811ce02,risk-effort,Enfant,3,4,1,Homme grande taille,7,6,4
femme,23,PER,bac+4,145ac55b-3b81-42b1-aa64-063c2bc3aa65,risk-effort,Enfant,4,2,10,Homme grande taille,6,8,9
femme,23,PER,bac+4,145ac55b-3b81-42b1-aa64-063c2bc3aa65,effort-reward,Homme grande taille,2,6,9,Enfant,8,4,10
femme,23,PER,bac+4,145ac55b-3b81-42b1-aa64-063c2bc3aa65,risk-effort,Robot,8,8,8,Enfant,2,2,10
femme,23,PER,bac+4,145ac55b-3b81-42b1-aa64-063c2bc3aa65,risk-reward,Femme grande taille,3,8,8,Femme petite taille,7,2,4
femme,23,PER,bac+4,145ac55b-3b81-42b1-aa64-063c2bc3aa65,effort-reward,Robot,6,8,8,Femme grande taille,4,2,8
femme,23,PER,bac+4,145ac55b-3b81-42b1-aa64-063c2bc3aa65,effort-reward,Homme grande taille,8,7,9,Femme petite taille,2,3,4
femme,23,PER,bac+4,145ac55b-3b81-42b1-aa64-063c2bc3aa65,risk-effort,Homme grande taille,10,0,9,Homme petite taille,0,10,7
femme,23,PER,bac+4,145ac55b-3b81-42b1-aa64-063c2bc3aa65,risk-effort,Femme grande taille,5,10,8,Enfant,5,0,10
femme,23,PER,bac+4,145ac55b-3b81-42b1-aa64-063c2bc3aa65,effort-reward,Enfant,8,5,10,Personne âgée,2,5,3
femme,23,PER,bac+4,145ac55b-3b81-42b1-aa64-063c2bc3aa65,risk-effort,Personne âgée,10,1,3,Homme petite taille,0,9,7
femme,23,PER,bac+4,145ac55b-3b81-42b1-aa64-063c2bc3aa65,risk-reward,Femme petite taille,5,5,4,Enfant,5,5,10
femme,23,PER,bac+4,145ac55b-3b81-42b1-aa64-063c2bc3aa65,effort-reward,Homme grande taille,2,10,9,Robot,8,0,8
femme,23,PER,bac+4,145ac55b-3b81-42b1-aa64-063c2bc3aa65,risk-reward,Robot,10,4,8,Femme grande taille,0,6,8
femme,23,PER,bac+4,145ac55b-3b81-42b1-aa64-063c2bc3aa65,risk-reward,Robot,10,1,8,Femme grande taille,0,9,8
femme,23,PER,bac+4,145ac55b-3b81-42b1-aa64-063c2bc3aa65,risk-reward,Homme grande taille,5,5,9,Robot,5,5,8
femme,23,PER,bac+4,145ac55b-3b81-42b1-aa64-063c2bc3aa65,risk-effort,Femme grande taille,5,5,8,Homme petite taille,5,5,7
femme,23,PER,bac+4,145ac55b-3b81-42b1-aa64-063c2bc3aa65,effort-reward,Enfant,5,4,10,Personne âgée,5,6,3
femme,23,PER,bac+4,145ac55b-3b81-42b1-aa64-063c2bc3aa65,risk-reward,Homme grande taille,8,6,9,Homme petite taille,2,4,7
homme,43,DZA,employe,086b8af2-bfe6-4638-a1ca-bca6e0bd626c,risk-reward,Robot,7,7,6,Enfant,3,3,2
homme,43,DZA,employe,086b8af2-bfe6-4638-a1ca-bca6e0bd626c,risk-effort,Homme grande taille,2,4,2,Enfant,8,6,2
homme,43,DZA,employe,086b8af2-bfe6-4638-a1ca-bca6e0bd626c,effort-reward,Femme grande taille,5,0,5,Enfant,5,10,2
homme,43,DZA,employe,086b8af2-bfe6-4638-a1ca-bca6e0bd626c,risk-reward,Homme petite taille,10,10,8,Personne âgée,0,0,2
homme,43,DZA,employe,086b8af2-bfe6-4638-a1ca-bca6e0bd626c,risk-effort,Homme petite taille,10,10,8,Femme petite taille,0,0,6
