genre,age,nationalite,niveauEtudes,sessionId,associationType,personAType,valueOneA,valueTwoA,forceA,personBType,valueOneB,valueTwoB,forceB
homme,21,FRA,bac+3,07ee76b8-854e-431c-8225-5515137ec684,risk-effort,Homme petite taille,8.0,2.0,6.0,Robot,2.0,8.0,10.0
homme,21,FRA,bac+3,07ee76b8-854e-431c-8225-5515137ec684,effort-reward,Femme petite taille,3.0,3.0,5.0,Homme petite taille,7.0,7.0,6.0
homme,21,FRA,bac+3,07ee76b8-854e-431c-8225-5515137ec684,risk-reward,Robot,5.0,5.0,10.0,Homme grande taille,5.0,5.0,8.0
homme,21,FRA,bac+3,07ee76b8-854e-431c-8225-5515137ec684,effort-reward,Femme grande taille,6.0,6.0,7.0,Femme petite taille,4.0,4.0,5.0
homme,21,FRA,bac+3,07ee76b8-854e-431c-8225-5515137ec684,risk-effort,Femme grande taille,2.0,8.0,7.0,Homme grande taille,8.0,2.0,8.0
homme,21,FRA,bac+3,07ee76b8-854e-431c-8225-5515137ec684,effort-reward,Femme petite taille,3.0,3.0,5.0,Femme grande taille,7.0,7.0,7.0
homme,21,FRA,bac+3,07ee76b8-854e-431c-8225-5515137ec684,risk-reward,Enfant,4.0,4.0,4.0,Homme petite taille,6.0,6.0,6.0
homme,21,FRA,bac+3,07ee76b8-854e-431c-8225-5515137ec684,risk-reward,Femme petite taille,5.0,5.0,5.0,Homme petite taille,5.0,5.0,6.0
homme,21,FRA,bac+3,07ee76b8-854e-431c-8225-5515137ec684,effort-reward,Homme grande taille,5.0,5.0,8.0,Robot,5.0,5.0,10.0
homme,21,FRA,bac+3,07ee76b8-854e-431c-8225-5515137ec684,effort-reward,Robot,6.0,6.0,10.0,Femme petite taille,4.0,4.0,5.0
homme,21,FRA,bac+3,07ee76b8-854e-431c-8225-5515137ec684,risk-effort,Homme grande taille,2.0,8.0,8.0,Homme petite taille,8.0,2.0,6.0
homme,21,FRA,bac+3,07ee76b8-854e-431c-8225-5515137ec684,risk-effort,Enfant,8.0,2.0,4.0,Robot,2.0,8.0,10.0
homme,21,FRA,bac+3,07ee76b8-854e-431c-8225-5515137ec684,effort-reward,Enfant,8.0,10.0,4.0,Homme grande taille,2.0,0.0,8.0
homme,21,FRA,bac+3,07ee76b8-854e-431c-8225-5515137ec684,effort-reward,Robot,10.0,2.0,10.0,Homme petite taille,0.0,8.0,6.0
homme,43,DZA,employe,086b8af2-bfe6-4638-a1ca-bca6e0bd626c,risk-reward,Robot,7.0,7.0,6.0,Enfant,3.0,3.0,2.0
homme,43,DZA,employe,086b8af2-bfe6-4638-a1ca-bca6e0bd626c,risk-effort,Homme grande taille,2.0,4.0,2.0,Enfant,8.0,6.0,2.0
homme,43,DZA,employe,086b8af2-bfe6-4638-a1ca-bca6e0bd626c,effort-reward,Femme grande taille,5.0,0.0,5.0,Enfant,5.0,10.0,2.0
homme,43,DZA,employe,086b8af2-bfe6-4638-a1ca-bca6e0bd626c,risk-reward,Homme petite taille,10.0,10.0,8.0,Personne âgée,0.0,0.0,2.0
homme,43,DZA,employe,086b8af2-bfe6-4638-a1ca-bca6e0bd626c,risk-effort,Homme petite taille,10.0,10.0,8.0,Femme petite taille,0.0,0.0,6.0
homme,43,DZA,employe,086b8af2-bfe6-4638-a1ca-bca6e0bd626c,effort-reward,Femme grande taille,4.0,4.0,5.0,Femme petite taille,6.0,6.0,6.0
homme,43,DZA,employe,086b8af2-bfe6-4638-a1ca-bca6e0bd626c,effort-reward,Femme petite taille,7.0,8.0,6.0,Enfant,3.0,2.0,2.0
homme,43,DZA,employe,086b8af2-bfe6-4638-a1ca-bca6e0bd626c,risk-effort,Robot,2.0,0.0,6.0,Femme petite taille,8.0,10.0,6.0
homme,43,DZA,employe,086b8af2-bfe6-4638-a1ca-bca6e0bd626c,effort-reward,Femme grande taille,0.0,0.0,5.0,Robot,10.0,10.0,6.0
homme,43,DZA,employe,086b8af2-bfe6-4638-a1ca-bca6e0bd626c,risk-reward,Personne âgée,2.0,1.0,2.0,Femme grande taille,8.0,9.0,5.0
homme,43,DZA,employe,086b8af2-bfe6-4638-a1ca-bca6e0bd626c,risk-effort,Femme grande taille,5.0,5.0,5.0,Femme petite taille,5.0,5.0,6.0
homme,43,DZA,employe,086b8af2-bfe6-4638-a1ca-bca6e0bd626c,effort-reward,Enfant,5.0,5.0,2.0,Robot,5.0,5.0,6.0
homme,43,DZA,employe,086b8af2-bfe6-4638-a1ca-bca6e0bd626c,risk-reward,Personne âgée,5.0,5.0,2.0,Homme grande taille,5.0,5.0,2.0
homme,43,DZA,employe,086b8af2-bfe6-4638-a1ca-bca6e0bd626c,risk-effort,Femme petite taille,5.0,5.0,6.0,Femme grande taille,5.0,5.0,5.0
homme,43,DZA,employe,086b8af2-bfe6-4638-a1ca-bca6e0bd626c,risk-reward,Robot,0.0,5.0,6.0,Robot,10.0,5.0,6.0
homme,43,DZA,employe,086b8af2-bfe6-4638-a1ca-bca6e0bd626c,effort-reward,Femme petite taille,1.0,0.0,6.0,Femme grande taille,9.0,10.0,5.0
homme,43,DZA,employe,086b8af2-bfe6-4638-a1ca-bca6e0bd626c,effort-reward,Robot,0.0,2.0,6.0,Femme petite taille,10.0,8.0,6.0
homme,43,DZA,employe,086b8af2-bfe6-4638-a1ca-bca6e0bd626c,effort-reward,Homme petite taille,6.0,4.0,8.0,Homme grande taille,4.0,6.0,2.0
homme,60,DZA,employe,0c660e96-ef9f-4821-be38-17ab3da38a39,effort-reward,Homme grande taille,5.0,5.0,8.0,Robot,5.0,5.0,8.0
homme,60,DZA,employe,0c660e96-ef9f-4821-be38-17ab3da38a39,risk-effort,Homme petite taille,5.0,5.0,6.0,Homme grande taille,5.0,5.0,8.0
homme,60,DZA,employe,0c660e96-ef9f-4821-be38-17ab3da38a39,risk-effort,Robot,5.0,5.0,8.0,Femme grande taille,5.0,5.0,6.0
homme,60,DZA,employe,0c660e96-ef9f-4821-be38-17ab3da38a39,risk-reward,Robot,5.0,5.0,8.0,Personne âgée,5.0,5.0,5.0
homme,60,DZA,employe,0c660e96-ef9f-4821-be38-17ab3da38a39,risk-effort,Robot,5.0,5.0,8.0,Homme petite taille,5.0,5.0,6.0
homme,60,DZA,employe,0c660e96-ef9f-4821-be38-17ab3da38a39,risk-effort,Personne âgée,5.0,5.0,5.0,Homme petite taille,5.0,5.0,6.0
homme,60,DZA,employe,0c660e96-ef9f-4821-be38-17ab3da38a39,risk-effort,Personne âgée,5.0,5.0,5.0,Enfant,5.0,5.0,5.0
homme,60,DZA,employe,0c660e96-ef9f-4821-be38-17ab3da38a39,effort-reward,Personne âgée,5.0,5.0,5.0,Homme grande taille,5.0,5.0,8.0
homme,60,DZA,employe,0c660e96-ef9f-4821-be38-17ab3da38a39,risk-reward,Personne âgée,5.0,5.0,5.0,Femme grande taille,5.0,5.0,6.0
homme,60,DZA,employe,0c660e96-ef9f-4821-be38-17ab3da38a39,risk-reward,Robot,5.0,5.0,8.0,Homme petite taille,5.0,5.0,6.0
homme,60,DZA,employe,0c660e96-ef9f-4821-be38-17ab3da38a39,effort-reward,Personne âgée,5.0,5.0,5.0,Femme grande taille,5.0,5.0,6.0
homme,60,DZA,employe,0c660e96-ef9f-4821-be38-17ab3da38a39,effort-reward,Homme grande taille,5.0,5.0,8.0,Femme petite taille,5.0,5.0,6.0
homme,60,DZA,employe,0c660e96-ef9f-4821-be38-17ab3da38a39,risk-reward,Personne âgée,5.0,5.0,5.0,Homme petite taille,5.0,5.0,6.0
homme,60,DZA,employe,0c660e96-ef9f-4821-be38-17ab3da38a39,risk-effort,Robot,5.0,5.0,8.0,Personne âgée,5.0,5.0,5.0
homme,60,DZA,employe,0c660e96-ef9f-4821-be38-17ab3da38a39,effort-reward,Personne âgée,5.0,5.0,5.0,Homme petite taille,5.0,5.0,6.0
homme,60,DZA,employe,0c660e96-ef9f-4821-be38-17ab3da38a39,risk-reward,Homme petite taille,5.0,5.0,6.0,Robot,5.0,5.0,8.0
homme,60,DZA,employe,0c660e96-ef9f-4821-be38-17ab3da38a39,risk-reward,Homme petite taille,5.0,5.0,6.0,Homme grande taille,5.0,5.0,8.0
homme,60,DZA,employe,0c660e96-ef9f-4821-be38-17ab3da38a39,effort-reward,Femme grande taille,5.0,5.0,6.0,Homme petite taille,5.0,5.0,6.0
femme,21,FRA,bac+3,0d38b957-c255-4b0b-8810-6d53ce531685,risk-effort,Robot,7.0,8.0,10.0,Enfant,3.0,2.0,1.0
femme,21,FRA,bac+3,0d38b957-c255-4b0b-8810-6d53ce531685,effort-reward,Robot,6.0,4.0,10.0,Femme petite taille,4.0,6.0,5.0
femme,21,FRA,bac+3,0d38b957-c255-4b0b-8810-6d53ce531685,effort-reward,Robot,9.0,2.0,10.0,Enfant,1.0,8.0,1.0
femme,21,FRA,bac+3,0d38b957-c255-4b0b-8810-6d53ce531685,risk-reward,Robot,8.0,6.0,10.0,Enfant,2.0,4.0,1.0
femme,21,FRA,bac+3,0d38b957-c255-4b0b-8810-6d53ce531685,risk-reward,Robot,9.0,4.0,10.0,Femme petite taille,1.0,6.0,5.0
femme,21,FRA,bac+3,0d38b957-c255-4b0b-8810-6d53ce531685,effort-reward,Robot,1.0,1.0,10.0,Femme petite taille,9.0,9.0,5.0
femme,21,FRA,bac+3,0d38b957-c255-4b0b-8810-6d53ce531685,risk-effort,Robot,5.0,2.0,10.0,Enfant,5.0,8.0,1.0
femme,21,FRA,bac+3,0d38b957-c255-4b0b-8810-6d53ce531685,risk-reward,Robot,3.0,5.0,10.0,Enfant,7.0,5.0,1.0
femme,21,FRA,bac+3,0d38b957-c255-4b0b-8810-6d53ce531685,effort-reward,Robot,2.0,2.0,10.0,Enfant,8.0,8.0,1.0
femme,21,FRA,bac+3,0d38b957-c255-4b0b-8810-6d53ce531685,effort-reward,Robot,7.0,9.0,10.0,Enfant,3.0,1.0,1.0
femme,21,FRA,bac+3,0d38b957-c255-4b0b-8810-6d53ce531685,risk-effort,Robot,6.0,8.0,10.0,Enfant,4.0,2.0,1.0
femme,21,FRA,bac+3,0d38b957-c255-4b0b-8810-6d53ce531685,risk-reward,Robot,9.0,4.0,10.0,Femme petite taille,1.0,6.0,5.0
femme,21,FRA,bac+3,0d38b957-c255-4b0b-8810-6d53ce531685,risk-effort,Robot,6.0,3.0,10.0,Enfant,4.0,7.0,1.0
femme,21,FRA,bac+3,0d38b957-c255-4b0b-8810-6d53ce531685,effort-reward,Robot,5.0,4.0,10.0,Enfant,5.0,6.0,1.0
femme,21,FRA,bac+3,0d38b957-c255-4b0b-8810-6d53ce531685,effort-reward,Robot,10.0,10.0,10.0,Enfant,0.0,0.0,1.0
femme,21,FRA,bac+3,0d38b957-c255-4b0b-8810-6d53ce531685,risk-reward,Robot,2.0,5.0,10.0,Femme petite taille,8.0,5.0,5.0
femme,21,FRA,bac+3,0d38b957-c255-4b0b-8810-6d53ce531685,effort-reward,Robot,8.0,10.0,10.0,Femme petite taille,2.0,0.0,5.0
femme,21,FRA,bac+3,0d38b957-c255-4b0b-8810-6d53ce531685,effort-reward,Robot,9.0,0.0,10.0,Enfant,1.0,10.0,1.0
femme,56,PER,employe,0ddc3fd4-4b70-4d2f-b53a-011af4247494,effort-reward,Femme petite taille,7.0,7.0,7.0,Personne âgée,3.0,3.0,3.0
femme,56,PER,employe,0ddc3fd4-4b70-4d2f-b53a-011af4247494,effort-reward,Femme petite taille,5.0,5.0,7.0,Homme grande taille,5.0,5.0,8.0
femme,56,PER,employe,0ddc3fd4-4b70-4d2f-b53a-011af4247494,risk-reward,Femme petite taille,5.0,5.0,7.0,Homme grande taille,5.0,5.0,8.0
femme,56,PER,employe,0ddc3fd4-4b70-4d2f-b53a-011af4247494,risk-effort,Personne âgée,0.0,2.0,3.0,Femme petite taille,10.0,8.0,7.0
femme,56,PER,employe,0ddc3fd4-4b70-4d2f-b53a-011af4247494,effort-reward,Femme petite taille,7.0,7.0,7.0,Personne âgée,3.0,3.0,3.0
femme,56,PER,employe,0ddc3fd4-4b70-4d2f-b53a-011af4247494,risk-reward,Homme grande taille,0.0,10.0,8.0,Robot,10.0,0.0,9.0
femme,56,PER,employe,0ddc3fd4-4b70-4d2f-b53a-011af4247494,risk-reward,Femme petite taille,5.0,5.0,7.0,Homme grande taille,5.0,5.0,8.0
femme,56,PER,employe,0ddc3fd4-4b70-4d2f-b53a-011af4247494,risk-reward,Femme grande taille,5.0,5.0,7.0,Homme petite taille,5.0,5.0,7.0
femme,56,PER,employe,0ddc3fd4-4b70-4d2f-b53a-011af4247494,effort-reward,Homme petite taille,5.0,5.0,7.0,Femme petite taille,5.0,5.0,7.0
femme,56,PER,employe,0ddc3fd4-4b70-4d2f-b53a-011af4247494,risk-reward,Personne âgée,3.0,5.0,3.0,Femme grande taille,7.0,5.0,7.0
femme,56,PER,employe,0ddc3fd4-4b70-4d2f-b53a-011af4247494,risk-effort,Femme grande taille,4.0,5.0,7.0,Homme grande taille,6.0,5.0,8.0
femme,56,PER,employe,0ddc3fd4-4b70-4d2f-b53a-011af4247494,effort-reward,Robot,10.0,0.0,9.0,Homme petite taille,0.0,10.0,7.0
femme,56,PER,employe,0ddc3fd4-4b70-4d2f-b53a-011af4247494,risk-effort,Robot,10.0,0.0,9.0,Femme grande taille,0.0,10.0,7.0
femme,56,PER,employe,0ddc3fd4-4b70-4d2f-b53a-011af4247494,risk-reward,Enfant,2.0,5.0,3.0,Personne âgée,8.0,5.0,3.0
femme,56,PER,employe,0ddc3fd4-4b70-4d2f-b53a-011af4247494,risk-effort,Personne âgée,0.0,2.0,3.0,Homme grande taille,10.0,8.0,8.0
femme,56,PER,employe,0ddc3fd4-4b70-4d2f-b53a-011af4247494,risk-effort,Personne âgée,2.0,2.0,3.0,Femme grande taille,8.0,8.0,7.0
femme,56,PER,employe,0ddc3fd4-4b70-4d2f-b53a-011af4247494,risk-effort,Femme grande taille,5.0,5.0,7.0,Femme petite taille,5.0,5.0,7.0
femme,56,PER,employe,0ddc3fd4-4b70-4d2f-b53a-011af4247494,risk-effort,Femme petite taille,5.0,0.0,7.0,Robot,5.0,10.0,9.0
femme,22,TUN,bac+3,12d2d777-5210-4eff-ba21-a13d4914db24,risk-effort,Femme grande taille,5.0,5.0,1.0,Enfant,5.0,5.0,3.0
femme,22,TUN,bac+3,12d2d777-5210-4eff-ba21-a13d4914db24,effort-reward,Homme petite taille,5.0,5.0,1.0,Personne âgée,5.0,5.0,3.0
femme,22,TUN,bac+3,12d2d777-5210-4eff-ba21-a13d4914db24,effort-reward,Homme petite taille,5.0,3.0,1.0,Robot,5.0,7.0,5.0
femme,22,TUN,bac+3,12d2d777-5210-4eff-ba21-a13d4914db24,risk-reward,Robot,4.0,5.0,5.0,Personne âgée,6.0,5.0,3.0
femme,22,TUN,bac+3,12d2d777-5210-4eff-ba21-a13d4914db24,effort-reward,Robot,5.0,3.0,5.0,Femme grande taille,5.0,7.0,1.0
femme,22,TUN,bac+3,12d2d777-5210-4eff-ba21-a13d4914db24,risk-reward,Enfant,5.0,5.0,3.0,Homme grande taille,5.0,5.0,1.0
femme,22,TUN,bac+3,12d2d777-5210-4eff-ba21-a13d4914db24,risk-reward,Homme petite taille,7.0,5.0,1.0,Robot,3.0,5.0,5.0
femme,22,TUN,bac+3,12d2d777-5210-4eff-ba21-a13d4914db24,effort-reward,Robot,5.0,8.0,5.0,Femme petite taille,5.0,2.0,1.0
femme,22,TUN,bac+3,12d2d777-5210-4eff-ba21-a13d4914db24,risk-reward,Robot,4.0,5.0,5.0,Homme grande taille,6.0,5.0,1.0
femme,22,TUN,bac+3,12d2d777-5210-4eff-ba21-a13d4914db24,risk-effort,Homme petite taille,5.0,5.0,1.0,Enfant,5.0,5.0,3.0
femme,22,TUN,bac+3,12d2d777-5210-4eff-ba21-a13d4914db24,risk-effort,Femme petite taille,7.0,5.0,1.0,Homme grande taille,3.0,5.0,1.0
femme,22,TUN,bac+3,12d2d777-5210-4eff-ba21-a13d4914db24,effort-reward,Homme petite taille,4.0,5.0,1.0,Femme petite taille,6.0,5.0,1.0
femme,22,TUN,bac+3,12d2d777-5210-4eff-ba21-a13d4914db24,risk-effort,Femme petite taille,8.0,5.0,1.0,Enfant,2.0,5.0,3.0
femme,22,TUN,bac+3,12d2d777-5210-4eff-ba21-a13d4914db24,risk-effort,Personne âgée,5.0,2.0,3.0,Homme grande taille,5.0,8.0,1.0
femme,22,TUN,bac+3,12d2d777-5210-4eff-ba21-a13d4914db24,risk-effort,Personne âgée,2.0,5.0,3.0,Enfant,8.0,5.0,3.0
femme,22,TUN,bac+3,12d2d777-5210-4eff-ba21-a13d4914db24,effort-reward,Homme grande taille,5.0,2.0,1.0,Femme petite taille,5.0,8.0,1.0
femme,22,TUN,bac+3,12d2d777-5210-4eff-ba21-a13d4914db24,risk-reward,Robot,8.0,2.0,5.0,Enfant,2.0,8.0,3.0
femme,22,TUN,bac+3,12d2d777-5210-4eff-ba21-a13d4914db24,risk-reward,Femme petite taille,5.0,8.0,1.0,Robot,5.0,2.0,5.0
femme,23,PER,bac+4,145ac55b-3b81-42b1-aa64-063c2bc3aa65,risk-effort,Enfant,4.0,2.0,10.0,Homme grande taille,6.0,8.0,9.0
femme,23,PER,bac+4,145ac55b-3b81-42b1-aa64-063c2bc3aa65,effort-reward,Homme grande taille,2.0,6.0,9.0,Enfant,8.0,4.0,10.0
femme,23,PER,bac+4,145ac55b-3b81-42b1-aa64-063c2bc3aa65,risk-effort,Robot,8.0,8.0,8.0,Enfant,2.0,2.0,10.0
femme,23,PER,bac+4,145ac55b-3b81-42b1-aa64-063c2bc3aa65,risk-reward,Femme grande taille,3.0,8.0,8.0,Femme petite taille,7.0,2.0,4.0
femme,23,PER,bac+4,145ac55b-3b81-42b1-aa64-063c2bc3aa65,effort-reward,Robot,6.0,8.0,8.0,Femme grande taille,4.0,2.0,8.0
femme,23,PER,bac+4,145ac55b-3b81-42b1-aa64-063c2bc3aa65,effort-reward,Homme grande taille,8.0,7.0,9.0,Femme petite taille,2.0,3.0,4.0
femme,23,PER,bac+4,145ac55b-3b81-42b1-aa64-063c2bc3aa65,risk-effort,Homme grande taille,10.0,0.0,9.0,Homme petite taille,0.0,10.0,7.0
femme,23,PER,bac+4,145ac55b-3b81-42b1-aa64-063c2bc3aa65,risk-effort,Femme grande taille,5.0,10.0,8.0,Enfant,5.0,0.0,10.0
femme,23,PER,bac+4,145ac55b-3b81-42b1-aa64-063c2bc3aa65,effort-reward,Enfant,8.0,5.0,10.0,Personne âgée,2.0,5.0,3.0
femme,23,PER,bac+4,145ac55b-3b81-42b1-aa64-063c2bc3aa65,risk-effort,Personne âgée,10.0,1.0,3.0,Homme petite taille,0.0,9.0,7.0
femme,23,PER,bac+4,145ac55b-3b81-42b1-aa64-063c2bc3aa65,risk-reward,Femme petite taille,5.0,5.0,4.0,Enfant,5.0,5.0,10.0
femme,23,PER,bac+4,145ac55b-3b81-42b1-aa64-063c2bc3aa65,effort-reward,Homme grande taille,2.0,10.0,9.0,Robot,8.0,0.0,8.0
femme,23,PER,bac+4,145ac55b-3b81-42b1-aa64-063c2bc3aa65,risk-reward,Robot,10.0,4.0,8.0,Femme grande taille,0.0,6.0,8.0
femme,23,PER,bac+4,145ac55b-3b81-42b1-aa64-063c2bc3aa65,risk-reward,Robot,10.0,1.0,8.0,Femme grande taille,0.0,9.0,8.0
femme,23,PER,bac+4,145ac55b-3b81-42b1-aa64-063c2bc3aa65,risk-reward,Homme grande taille,5.0,5.0,9.0,Robot,5.0,5.0,8.0
femme,23,PER,bac+4,145ac55b-3b81-42b1-aa64-063c2bc3aa65,risk-effort,Femme grande taille,5.0,5.0,8.0,Homme petite taille,5.0,5.0,7.0
femme,23,PER,bac+4,145ac55b-3b81-42b1-aa64-063c2bc3aa65,effort-reward,Enfant,5.0,4.0,10.0,Personne âgée,5.0,6.0,3.0
femme,23,PER,bac+4,145ac55b-3b81-42b1-aa64-063c2bc3aa65,risk-reward,Homme grande taille,8.0,6.0,9.0,Homme petite taille,2.0,4.0,7.0
homme,22,GBR,bac+1,186e2c28-993e-4d15-a99c-ac5eff9c7b42,risk-reward,Femme grande taille,3.0,5.0,5.0,Femme petite taille,7.0,5.0,4.0
homme,22,GBR,bac+1,186e2c28-993e-4d15-a99c-ac5eff9c7b42,risk-reward,Robot,10.0,0.0,10.0,Enfant,0.0,10.0,1.0
homme,22,GBR,bac+1,186e2c28-993e-4d15-a99c-ac5eff9c7b42,risk-effort,Homme grande taille,3.0,10.0,8.0,Enfant,7.0,0.0,1.0
homme,22,GBR,bac+1,186e2c28-993e-4d15-a99c-ac5eff9c7b42,effort-reward,Femme grande taille,0.0,10.0,5.0,Robot,10.0,0.0,10.0
homme,22,GBR,bac+1,186e2c28-993e-4d15-a99c-ac5eff9c7b42,risk-effort,Robot,10.0,2.0,10.0,Femme petite taille,0.0,8.0,4.0
homme,22,GBR,bac+1,186e2c28-993e-4d15-a99c-ac5eff9c7b42,risk-reward,Femme grande taille,5.0,5.0,5.0,Femme petite taille,5.0,5.0,4.0
homme,22,GBR,bac+1,186e2c28-993e-4d15-a99c-ac5eff9c7b42,risk-effort,Homme petite taille,3.0,7.0,6.0,Femme grande taille,7.0,3.0,5.0
